"Rank","Niche","Group","Demand","Competition(low=crowded)","Margin","RepeatPurchase","SeriesPotential","ProductionEfficiency","PolicyRisk(high=safe)","Differentiation","AdsViability","MarketScore","ValiceAssetFit","ValicePriority","PrimaryChannel","Note"
"1","Korean Hangul script & handwriting","Language/Script","78","62","70","65","88","85","82","60","70","73.3","95","84.1","Amazon print-first","Already in review at Valice. K-culture demand is durable; script books are print-native and template-driven."
"2","Mythology-themed puzzle books","Puzzle/Activity","38","85","68","60","82","70","85","88","45","68.0","92","80.0","Amazon print-first","Valice-native: nobody else owns both the myth content and the puzzle craft."
"3","Kids' mythology activity & field books","Puzzle/Activity","58","72","66","62","85","68","72","80","55","68.0","92","80.0","Amazon print-first","The Myth Hunter's Field Book already proves this shape works."
"4","Annotated Stoic & philosophy editions","Myth/Classics","78","48","88","58","82","72","65","70","58","69.1","90","79.6","Direct-first (KDP caps PD at 35%)","Margin score is direct-channel margin. On Amazon the 35% public-domain cap guts it."
"5","Bestiary / creature compendia","Myth/Classics","65","65","72","48","80","32","78","88","60","63.9","88","76.0","Amazon print-first","Codex Bestiarium already live. Strong series and gift-market pull."
"6","Illustrated world-mythology reference","Myth/Classics","72","62","72","45","75","30","78","88","62","63.5","88","75.7","Amazon print-first","Valice's flagship shape. Slow and expensive to make — which is exactly why it defends itself."
"7","Regional & national folklore collections","Myth/Classics","55","75","70","52","88","45","80","82","55","65.9","82","74.0","Amazon print-first","Near-infinite series runway (by country/region) on one template."
"8","Greek alphabet (modern + classical)","Language/Script","48","78","72","55","78","85","85","75","55","69.3","78","73.6","Amazon print-first","Ties directly into Valice's mythology catalogue — cross-sell is free."
"9","Comparative mythology study guides","Myth/Classics","45","78","78","55","78","58","82","80","48","66.6","75","70.8","Amazon print-first","Education-adjacent, high differentiation, modest ceiling."
"10","Latin for classical readers","Language/Script","40","75","78","60","75","68","88","78","45","67.2","68","67.6","Amazon print-first","Small but high-intent, high-WTP, and adjacent to the classics catalogue."
"11","Codeword & cipher puzzles","Puzzle/Activity","42","76","64","65","76","68","80","70","42","65.0","70","67.5","Amazon print-first","Thin market, low competition, pairs with the Codex/mythology brand."
"12","Mandarin character & stroke practice","Language/Script","80","52","70","72","88","78","80","55","65","71.7","62","66.8","Amazon print-first","High repeat: learners buy per HSK level. Natural 6-book ladder."
"13","Japanese kana (hiragana/katakana)","Language/Script","85","45","70","68","90","85","80","45","65","71.2","62","66.6","Amazon print-first","Largest script-practice demand but the most crowded; needs a real differentiator (mnemonics, stroke video QR)."
"14","Annotated classic literature editions","Myth/Classics","70","38","88","55","90","70","58","55","50","64.7","68","66.3","Direct-first (KDP caps PD at 35%)","Most crowded public-domain corner; free versions exist for nearly all of it."
"15","Russian Cyrillic script","Language/Script","55","72","70","55","80","88","82","65","60","69.0","60","64.5","Amazon print-first","Thinner demand, markedly thinner competition. Good second-wave title."
"16","Devanagari / Hindi script","Language/Script","58","68","70","58","78","72","80","62","55","66.9","55","61.0","Amazon print-first","Large heritage-learner market, weak incumbent quality."
"17","Thai script practice","Language/Script","42","82","70","52","72","72","82","70","50","65.5","55","60.3","Amazon print-first","Genuinely underserved. Small ceiling, low fight."
"18","Arabic script practice","Language/Script","70","58","70","62","82","70","72","58","60","67.3","48","57.7","Amazon print-first","Strong demand; RTL typesetting is a genuine production cost and a moat."
"19","Hebrew script practice","Language/Script","52","70","70","58","75","70","70","62","55","64.8","48","56.4","Amazon print-first","Religious-study demand is stable and price-insensitive. RTL cost again."
"20","Nonogram / Picross","Puzzle/Activity","48","72","64","70","80","72","78","65","45","66.6","45","55.8","Amazon print-first","Solver-verifiable by construction — a QA advantage most publishers lack."
"21","Logic grid puzzles","Puzzle/Activity","52","68","66","68","78","62","78","68","50","65.8","45","55.4","Amazon print-first","Programmatically generable with genuine quality control. Underexploited."
"22","Large-print sudoku & variants","Puzzle/Activity","82","32","62","78","72","90","58","30","55","64.3","40","52.2","Amazon print-first","Same shape as word search. Commodity; competes on cover and price alone."
"23","Large-print word search for seniors","Puzzle/Activity","88","28","62","78","70","92","55","25","55","64.1","40","52.0","Amazon print-first","Documented as evergreen AND as the single most saturated corner. Volume without defensibility."
"24","Cryptic / British-style crosswords","Puzzle/Activity","45","78","68","72","78","42","82","82","45","66.0","35","50.5","Amazon print-first","Hard to generate, therefore hard to copy. Constructing fair cryptics is real editorial work."
"25","Adult handwriting / cursive revival","Education","68","55","64","58","78","85","68","48","58","65.1","35","50.1","Amazon print-first","Big and template-friendly, but the generic end is already commoditised."
"26","Technical deep guides for engineers","High-Content","55","82","95","62","65","22","88","92","40","68.2","30","49.1","Direct (website)","Best margin in the entire matrix; worst throughput. Website-native, Amazon-irrelevant."
"27","Creative-professional visual references","High-Content","42","80","90","55","68","28","85","90","35","64.4","28","46.2","Direct (website)","PDF-native (colour fidelity). Amazon print economics are hostile at this page count."
"28","Certification / test-prep workbooks","Education","72","52","80","65","80","45","62","65","70","65.8","22","43.9","Amazon print-first","High WTP, but content decays annually and inaccuracy carries real liability."
"29","Executive playbooks & frameworks","High-Content","45","85","96","58","62","25","88","92","30","66.2","20","43.1","Direct (website)","Highest price ceiling, smallest audience, sold by reputation not by search."
"30","Grade-level math practice workbooks","Education","85","32","62","82","88","78","60","28","62","66.3","18","42.1","Amazon print-first","Huge repeat demand, brutal competition, and content errors are reputationally fatal."
