"file","folder","width_px","height_px","aspect","bytes","kind","depicts","route_it_references","verdict"
"about_referance_image.png","images/","1536","1024","1.500","1521690","founder reference (AI mockup)","about page","/about","composition reference only — its content is a fictional store"
"account_orders_referance_image.png","images/","1536","1024","1.500","1400815","founder reference (AI mockup)","order history","/account/orders","composition reference only — its content is a fictional store"
"all_books_referans_image.png","images/","1536","1024","1.500","1727543","founder reference (AI mockup)","catalogue: left filter rail (categories/formats/price/rating) + 5-up cover grid + pagination","/books","composition reference only — its content is a fictional store"
"ana-sayfa-referans-image.png","images/","962","1635","0.588","1656367","founder reference (AI mockup)","full homepage: hero + trust row + why-cards + category strip + featured grid + newsletter + footer","/","composition reference only — its content is a fictional store"
"authors_sekmesi_referans_image.png","images/","1536","1024","1.500","1500798","founder reference (AI mockup)","author index: bleed-left hero scene, filter chips, 6-up portrait cards, stats strip","/authors","composition reference only — its content is a fictional store"
"blog_read_referans_image.png","images/","1024","1536","0.667","1529816","founder reference (AI mockup)","article reading view","/blog/[slug]","composition reference only — its content is a fictional store"
"cart_sekmesi_referans_image.png","images/","1700","925","1.838","1465521","founder reference (AI mockup)","cart lines + summary","/cart","composition reference only — its content is a fictional store"
"categories_referance_image.png","images/","1536","1024","1.500","1495184","founder reference (AI mockup)","category index","/categories","composition reference only — its content is a fictional store"
"genres_sekmesi_referans_image.png","images/","1536","1024","1.500","1563811","founder reference (AI mockup)","the retired genres page","/genres (removed) → /categories","composition reference only — its content is a fictional store"
"library_sekmesi_referans_image.png","images/","1535","1024","1.499","1525446","founder reference (AI mockup)","owned-books shelf","/account/library","composition reference only — its content is a fictional store"
"notes_sekmesi_referans_image.png","images/","1536","1024","1.500","1529100","founder reference (AI mockup)","a reading-notes feature this store does not have","(no route)","composition reference only — its content is a fictional store"
"order_referance_image.png","images/","1536","1024","1.500","1393458","founder reference (AI mockup)","single order / receipt","/order/[id]","composition reference only — its content is a fictional store"
"reading_guidness_sekmesi_referans_image.png","images/","1550","1014","1.529","1535494","founder reference (AI mockup)","reading-guides index","/blog (reading guides)","composition reference only — its content is a fictional store"
"search_referans_image.png","images/","1536","1024","1.500","1327903","founder reference (AI mockup)","search results","/search","composition reference only — its content is a fictional store"
"settings_reference_image.png","images/","1024","1536","0.667","1652741","founder reference (AI mockup)","account settings","/account/settings","composition reference only — its content is a fictional store"
"Screenshot from 2026-09-03 04-27-51.png","images/now/","1851","1002","1.847","284169","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
"Screenshot from 2026-09-03 04-28-04.png","images/now/","1851","1002","1.847","324627","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
"Screenshot from 2026-09-03 04-28-11.png","images/now/","1851","1002","1.847","519020","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
"Screenshot from 2026-09-03 04-28-21.png","images/now/","1851","1002","1.847","248579","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
"Screenshot from 2026-09-03 04-28-40.png","images/now/","1851","1002","1.847","380450","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
"Screenshot from 2026-09-03 04-28-56.png","images/now/","1851","1002","1.847","413744","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
"Screenshot from 2026-09-03 04-30-49.png","images/now/","1851","1002","1.847","418851","founder screenshot of production","valicepress.com as the Founder saw it on 2026-09-03 04:27–04:30","various","captured mid-load — see the map"
