id,story,tradition,claim,type,confidence,source,location,status
C-001,1,Akan · Gold Coast,"In Barker and Sinclair's tale III a rich man named Nothing lives beside Anansi's hut, and the two set out together to get wives",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale III,
C-002,1,Akan · Gold Coast,Anansi persuades Nothing to exchange his velvet cloth for Anansi's ragged cotton one and then delays returning it until they reach the town,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale III,
C-003,1,Akan · Gold Coast,"At the crossroads Anansi's road is half-cleared while Nothing's is wide and strewn with skins and carpets, with servants waiting",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale III,
C-004,1,Akan · Gold Coast,"Anansi has rats dig a pit at Nothing's door, lines it with knives and broken bottles, smears the steps with okro, and calls Nothing out at night",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale III,
C-005,1,Akan · Gold Coast,Nothing's widow boils and mashes yams and gives them to every child she meets so that the children will help her cry for her husband,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale III,
C-006,1,Akan · Gold Coast,The tale closes by explaining the phrase 'crying for nothing' as deriving from this mourning,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale III,
C-007,1,Akan · Gold Coast,"The pun depends on the dead man's name, and the collection prints no Twi text, so what the original turned on cannot be recovered from this source",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-008,1,Akan · Gold Coast,Barker was principal of the Government Training College at Accra and Sinclair a teacher; the tales were collected from Gold Coast pupils and households,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",title page and preface,
C-009,1,Akan · Gold Coast,"Akan tales of this kind are called anansesem, spider-stories, whether or not a spider appears in a given tale",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-010,1,Akan · Gold Coast,"The collection records no Twi text, no narrator names, no dates and no places, where Beckwith in 1924 recorded narrator and parish for every tale",EDITORIAL INTERPRETATION,HIGH,"editorial, comparing Barker & Sinclair 1917 with Beckwith 1924",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-011,2,Akan · Gold Coast,"In Barker and Sinclair's tale IV a famine drives Anansi to seek palm nuts on an island, and his first six attempts to launch an old broken boat fail before the seventh succeeds",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-012,2,Akan · Gold Coast,"Every nut Anansi drops from the palm misses the boat and falls into the sea, and he throws himself in after the last one",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-013,2,Akan · Gold Coast,"He lands on the sea floor before a cottage belonging to Thunder, an old man who gives him a cooking pot that supplies food on command",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-014,2,Akan · Gold Coast,The command spoken to both gifts is the same: what you used to do for your master do now for me,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-015,2,Akan · Gold Coast,"Anansi hides the pot from his starving family, eats alone, and grows plump while they grow thin",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-016,2,Akan · Gold Coast,"His eldest son Kweku Tsin can change shape, becomes a fly, discovers the pot and feeds the family",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-017,2,Akan · Gold Coast,"On the second visit Anansi deliberately throws the nuts into the sea, and Thunder gives him a stick that beats him",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale IV,
C-018,2,Akan · Gold Coast,"The source introduces Kweku Tsin's shape-changing without explanation and gives Thunder no cult, genealogy or description",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-019,2,Akan · Gold Coast,A twice-repeated verbal formula is evidence of oral performance rather than written composition,EDITORIAL INTERPRETATION,MEDIUM,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-020,2,Akan · Gold Coast,"In three of the four Akan tales retold here Anansi is punished, and in each case the offence is against people who were sustaining him",EDITORIAL INTERPRETATION,HIGH,"editorial, from Barker & Sinclair tales III, IV, VIII and XI",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-021,3,Akan · Gold Coast,In Barker and Sinclair's tale VIII a squirrel cultivates a farm reached only through the trees and builds no road to it,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale VIII,
